id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-4144,2024-05-15,000001,Vente,590000,,,AV DES TILLEULS,0700,01170,01173,Gex,01,,,01173000AI0221,,,,,,,,,,,,,0,,,,,S,sols,,,45,6.058279,46.335373
2024-4144,2024-05-15,000001,Vente,590000,,,LA VILLE,B110,01170,01173,Gex,01,,,01173000AI0222,,,,,,,,,,,,,0,,,,,S,sols,,,203,6.058123,46.335404
2024-4144,2024-05-15,000001,Vente,590000,,,LA VILLE,B110,01170,01173,Gex,01,,,01173000AI0557,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,111,6.058397,46.335421
2024-4144,2024-05-15,000001,Vente,590000,,,LA VILLE,B110,01170,01173,Gex,01,,,01173000AI0558,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,111,6.058605,46.335475
2024-4144,2024-05-15,000001,Vente,590000,,,LA VILLE,B110,01170,01173,Gex,01,,,01173000AI0561,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,19,6.058471,46.335397
2024-4147,2024-05-15,000001,Vente,415000,,,TOUGIN,B103,01170,01173,Gex,01,,,01173000AO0140,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,99,6.055362,46.321652
2024-4147,2024-05-15,000001,Vente,415000,52,,RUE DES GRANDS CHAMPS,0368,01170,01173,Gex,01,,,01173000AO0142,,,,,,,,,,,,,0,1,Maison,70,3,S,sols,,,105,6.055194,46.321427
2024-4147,2024-05-15,000001,Vente,415000,52,,RUE DES GRANDS CHAMPS,0368,01170,01173,Gex,01,,,01173000AO0142,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,105,6.055194,46.321427
2024-4265,2024-05-29,000001,Vente,528830,321,,RUE DE PARIS,0600,01170,01173,Gex,01,,,01173000AB0011,,,48,112.66,,,,,,,,,1,2,Appartement,112,3,,,,,,6.05746,46.338583
2024-4265,2024-05-29,000001,Vente,528830,321,,RUE DE PARIS,0600,01170,01173,Gex,01,,,01173000AB0011,,,114,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.05746,46.338583
2024-4265,2024-05-29,000001,Vente,528830,321,,RUE DE PARIS,0600,01170,01173,Gex,01,,,01173000AB0011,,,91,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.05746,46.338583
2024-4433,2024-05-24,000001,Vente,980000,45,,IMP RICHELIEU,1810,01170,01173,Gex,01,,,01173000AL0103,,,,,,,,,,,,,0,1,Maison,158,6,S,sols,,,1000,6.057263,46.326426
2024-4433,2024-05-24,000001,Vente,980000,45,,IMP RICHELIEU,1810,01170,01173,Gex,01,,,01173000AL0103,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1000,6.057263,46.326426
2024-4433,2024-05-24,000001,Vente,980000,45,,IMP RICHELIEU,1810,01170,01173,Gex,01,,,01173000AL0103,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1000,6.057263,46.326426
2024-4433,2024-05-24,000001,Vente,980000,45,,IMP RICHELIEU,1810,01170,01173,Gex,01,,,01173000AL0103,,,,,,,,,,,,,0,3,Dépendance,,0,P,prés,,,528,6.057263,46.326426
2024-4433,2024-05-24,000001,Vente,980000,45,,IMP RICHELIEU,1810,01170,01173,Gex,01,,,01173000AL0103,,,,,,,,,,,,,0,3,Dépendance,,0,P,prés,,,528,6.057263,46.326426
2024-4433,2024-05-24,000001,Vente,980000,45,,IMP RICHELIEU,1810,01170,01173,Gex,01,,,01173000AL0103,,,,,,,,,,,,,0,1,Maison,158,6,P,prés,,,528,6.057263,46.326426
